country,INDICATOR,SUBJECT,MEASURE,FREQUENCY,2014,2015,2016,2017,2018,2019
Ethiopia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,33.021,34.448,33.662,33.971,33.899,33.833
Euro area (19 countries),POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,12.749,13.281,12.103,12.256,12.326,12.208
"European Union (27 countries, 2020)",POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,14.21,14.438,13.294,13.559,13.605,13.475
European Union (28 countries),POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,13.779,13.913,12.893,13.142,13.158,13.035
Fiji,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,10.628,10.505,10.959,10.936,10.854,10.859
Finland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,6.49,5.719,5.68,5.334,5.675,5.638
France,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,11.509,12.232,11.439,11.387,11.492,11.367
G20,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,51.133,48.053,47.48,43.967,44.12,43.647
G7,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,10.877,10.842,10.082,10.369,10.365,10.271
Gabon,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,34.521,40.574,39.695,35.768,37.549,37.438
Gambia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,53.686,61.846,57.608,61.527,58.125,58.215
Georgia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,19.993,19.021,18.199,18.501,18.241,18.247
Germany,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,12.374,12.858,11.899,12.007,12.048,11.928
Ghana,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,47.447,61.115,60.311,56.464,54.717,54.476
Greece,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,15.799,16.155,14.54,14.511,14.586,14.32
Guatemala,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,29.585,31.114,29.316,27.991,28.189,27.814
Guinea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,48.507,56.59,53.964,53.821,52.762,52.823
Guinea-Bissau,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,49.249,57.455,54.118,57.434,53.988,54.018
Haiti,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,19.496,20.221,19.464,19.429,19.442,19.322
Honduras,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,25.631,26.77,24.807,22.79,23.411,22.926
"Hong Kong, China",POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,29.255,26.47,25.064,24.498,24.409,23.905
Hungary,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,17.676,17.688,15.855,16.698,16.743,16.596
Iceland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,6.624,6.504,6.096,6.376,6.363,6.374
India,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,95.837,88.897,92.546,82.062,83.211,83.304
Indonesia,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,19.147,20.179,21.454,18.857,19.408,19.674
Iran,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,40.805,41.948,40.773,39.985,39.596,39.002
Iraq,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,48.642,54.237,51.208,51.089,50.286,49.617
Ireland,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,8.513,8.376,7.833,7.657,7.91,7.848
Israel,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,21.538,22.251,18.628,19.904,19.736,19.424
Italy,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,16.909,17.81,15.557,15.875,16.033,15.848
Jamaica,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,16.45,16.685,16.324,16.374,16.324,16.245
Japan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,13.924,13.601,13.544,13.761,13.658,13.647
Jordan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,33.544,34.973,31.645,32.028,30.962,30.13
Kazakhstan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,22.497,21.474,21.791,20.963,21.053,21.045
Kenya,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,27.207,28.041,26.864,25.03,23.247,21.535
Korea,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,28.209,27.004,27.828,26.901,27.448,27.447
Kuwait,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,58.943,68.099,63.141,65.179,63.282,62.673
Kyrgyzstan,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,26.731,25.89,25.302,24.571,24.752,24.605
Lao People's Democratic Republic,POLLUTIONEXP,EXPOS2PM25,MICGRCUBM,A,21.779,21,23.652,19.457,20.725,20.769
