time,Open,High,Low,Close,Adj Close,Volume
20/05/2020,1389.160034,1412.030029,1387.420044,1409.160034,1409.160034,1913100
21/05/2020,1410.98999,1416.459961,1394.390015,1406.75,1406.75,1544700
22/05/2020,1403.900024,1417,1395.949951,1413.23999,1413.23999,1427200
26/05/2020,1441.959961,1445.109985,1419.400024,1421.369995,1421.369995,2229500
27/05/2020,1420,1425.349976,1394.599976,1420.280029,1420.280029,1584200
28/05/2020,1400,1444.459961,1399.079956,1418.23999,1418.23999,1758500
29/05/2020,1420.430054,1436.72998,1415.97998,1433.52002,1433.52002,1852200
01/06/2020,1425.699951,1441.579956,1422.280029,1434.869995,1434.869995,1258100
02/06/2020,1435,1443,1421.609985,1442.310059,1442.310059,1172100
03/06/2020,1442.699951,1449.01001,1431.619995,1439.25,1439.25,1386600
04/06/2020,1436.780029,1441.319946,1406.01001,1414.300049,1414.300049,1349100
05/06/2020,1415.640015,1446.300049,1407.619995,1440.02002,1440.02002,2132100
08/06/2020,1426.280029,1449,1424.47998,1448.040039,1448.040039,1693900
09/06/2020,1445.23999,1467.800049,1442.359985,1452.079956,1452.079956,1681200
10/06/2020,1461.51001,1472.77002,1454.359985,1464.699951,1464.699951,1588100
11/06/2020,1441.030029,1451.599976,1398.410034,1401.900024,1401.900024,2357200
12/06/2020,1425.859985,1434.51001,1385.800049,1412.920044,1412.920044,1833800
15/06/2020,1389.48999,1425,1387.199951,1420.73999,1420.73999,1523400
16/06/2020,1449,1457.170044,1428.98999,1446.469971,1446.469971,1532400
17/06/2020,1452.939941,1462.199951,1435.130005,1452.540039,1452.540039,1530500
18/06/2020,1449.849976,1452.969971,1426.23999,1434.119995,1434.119995,1743100
19/06/2020,1440,1444.5,1419,1424.640015,1424.640015,2639200
22/06/2020,1425.01001,1450.949951,1419.189941,1450.660034,1450.660034,1472100
23/06/2020,1452,1475.199951,1445,1463.97998,1463.97998,1887600
24/06/2020,1463.280029,1475.790039,1430,1432.699951,1432.699951,1579600
25/06/2020,1431.219971,1442.319946,1419.540039,1441.099976,1441.099976,1197900
26/06/2020,1432.630005,1437.02002,1355,1362.540039,1362.540039,4882000
29/06/2020,1360.339966,1398,1351.650024,1397.170044,1397.170044,2253700
30/06/2020,1396.880005,1424,1386.930054,1418.050049,1418.050049,2014300
01/07/2020,1419.170044,1448.47998,1414.180054,1442,1442,2109100
02/07/2020,1451.839966,1488.52002,1451.069946,1469.930054,1469.930054,2860900
06/07/2020,1488.150024,1510,1476.97998,1499.650024,1499.650024,2235600
07/07/2020,1496.130005,1521.319946,1489.699951,1489.920044,1489.920044,2118200
08/07/2020,1500.800049,1511.170044,1492.300049,1503.599976,1503.599976,1588300
09/07/2020,1509.930054,1529.140015,1495.589966,1518.660034,1518.660034,2091800
10/07/2020,1513.25,1541.339966,1500.719971,1539.01001,1539.01001,1795900
13/07/2020,1549.939941,1576.359985,1506.560059,1512.22998,1512.22998,2147700
14/07/2020,1492.790039,1522.800049,1485.930054,1520.859985,1520.859985,1905400
15/07/2020,1523.22998,1536.329956,1497.829956,1516.880005,1516.880005,1551300
16/07/2020,1501.5,1515.910034,1488.27002,1514.920044,1514.920044,1324200
17/07/2020,1516.910034,1523.430054,1498.099976,1516.849976,1516.849976,1713200
20/07/2020,1515,1569.01001,1502.699951,1563.839966,1563.839966,1508300
21/07/2020,1585.030029,1587.050049,1552.619995,1555.920044,1555.920044,1374300
22/07/2020,1555.709961,1566.97998,1543.22998,1564.849976,1564.849976,1224100
23/07/2020,1565.930054,1570.349976,1508.589966,1516.75,1516.75,1695500
24/07/2020,1499.189941,1515.430054,1487.589966,1508.209961,1508.209961,1495100
27/07/2020,1513.26001,1537.560059,1512.329956,1529.430054,1529.430054,1356200
